cidade;ano;prev;lat;lon
belem;2017;0.092708;-5.53;-52.29
belo_horizonte;2017;0.116036;-18.10;-44.38
boa_vista;2017;0.081840;1.89;-61.22
campo_grande;2017;0.142717;-20.51;-54.54
cuiaba;2017;0.122902;-12.64;-55.42
curitiba;2017;0.134755;-24.89;-51.55
distrito_federal;2017;0.109129;-15.83;-47.86
florianopolis;2017;0.114721;-27.33;-49.44
fortaleza;2017;0.112975;-3.71;-38.54
goiania;2017;0.132812;-16.64;-49.31
joao_pessoa;2017;0.123122;-7.06;-35.55
macapa;2017;0.089646;1.41;-51.77
maceio;2017;0.133755;-9.71;-35.73
manaus;2017;0.100851;-3.07;-61.66
natal;2017;0.110505;-5.22;-36.52
palmas;2017;0.067633;-10.25;-48.25
porto_alegre;2017;0.124335;-30.01;-51.22
porto_velho;2017;0.095883;-11.22;-62.80
recife;2017;0.119825;-8.28;-35.07
rio_branco;2017;0.089569;-8.77;-70.55
rio_de_janeiro;2017;0.148203;-22.84;-43.15
salvador;2017;0.108887;-12.96;-38.51
sao_luis;2017;0.097026;-2.55;-44.30
sao_paulo;2017;0.113366;-23.55;-46.64
teresina;2017;0.086722;-8.28;-43.68
vitoria;2017;0.132847;-19.19;-40.34
aracaju;2018;0.115942;-10.90;-37.07
belem;2018;0.098500;-5.53;-52.29
belo_horizonte;2018;0.123552;-18.10;-44.38
boa_vista;2018;0.083333;1.89;-61.22
campo_grande;2018;0.128000;-20.51;-54.54
cuiaba;2018;0.105473;-12.64;-55.42
curitiba;2018;0.123907;-24.89;-51.55
distrito_federal;2018;0.120937;-15.83;-47.86
florianopolis;2018;0.110224;-27.33;-49.44
fortaleza;2018;0.149398;-3.71;-38.54
goiania;2018;0.113337;-16.64;-49.31
joao_pessoa;2018;0.117882;-7.06;-35.55
macapa;2018;0.089272;1.41;-51.77
maceio;2018;0.137494;-9.71;-35.73
manaus;2018;0.090568;-3.07;-61.66
natal;2018;0.115723;-5.22;-36.52
palmas;2018;0.072349;-10.25;-48.25
porto_alegre;2018;0.134314;-30.01;-51.22
porto_velho;2018;0.095703;-11.22;-62.80
recife;2018;0.116651;-8.28;-35.07
rio_branco;2018;0.091718;-8.77;-70.55
rio_de_janeiro;2018;0.142095;-22.84;-43.15
salvador;2018;0.105911;-12.96;-38.51
sao_luis;2018;0.097305;-2.55;-44.30
sao_paulo;2018;0.118421;-23.55;-46.64
teresina;2018;0.087258;-8.28;-43.68
vitoria;2018;0.121878;-19.19;-40.34
aracaju;2019;0.119338;-10.90;-37.07
belem;2019;0.095678;-5.53;-52.29
belo_horizonte;2019;0.128391;-18.10;-44.38
boa_vista;2019;0.119961;1.89;-61.22
campo_grande;2019;0.130872;-20.51;-54.54
cuiaba;2019;0.128876;-12.64;-55.42
curitiba;2019;0.126336;-24.89;-51.55
distrito_federal;2019;0.092016;-15.83;-47.86
florianopolis;2019;0.128846;-27.33;-49.44
fortaleza;2019;0.134081;-3.71;-38.54
goiania;2019;0.118049;-16.64;-49.31
joao_pessoa;2019;0.120155;-7.06;-35.55
macapa;2019;0.097636;1.41;-51.77
maceio;2019;0.140988;-9.71;-35.73
manaus;2019;0.100358;-3.07;-61.66
natal;2019;0.120424;-5.22;-36.52
palmas;2019;0.075510;-10.25;-48.25
porto_alegre;2019;0.135569;-30.01;-51.22
porto_velho;2019;0.099688;-11.22;-62.80
recife;2019;0.132976;-8.28;-35.07
rio_branco;2019;0.100993;-8.77;-70.55
rio_de_janeiro;2019;0.140359;-22.84;-43.15
salvador;2019;0.129377;-12.96;-38.51
sao_luis;2019;0.118160;-2.55;-44.30
sao_paulo;2019;0.123782;-23.55;-46.64
teresina;2019;0.101205;-8.28;-43.68
vitoria;2019;0.130668;-19.19;-40.34
